iter	Logloss	Accuracy
0	0.665892305	0.8956406869
1	0.6428296668	0.8967415236
2	0.6202046812	0.905107882
3	0.599203025	0.8989431968
4	0.5845523686	0.8996036988
5	0.5627868033	0.9004843681
6	0.5466690503	0.9018053721
7	0.5307748738	0.9033465434
8	0.5142182661	0.903786878
9	0.4972560847	0.905107882
10	0.4818661278	0.9081902246
11	0.4698023824	0.9075297226
12	0.4590432465	0.9075297226
13	0.4483250066	0.906428886
14	0.43676531	0.9073095553
15	0.4273791468	0.9088507266
16	0.4196942525	0.9084103919
17	0.4099012893	0.9070893879
18	0.4019526997	0.9099515632
19	0.3937731483	0.9090708939
20	0.3856361279	0.9075297226
21	0.3778494617	0.9075297226
22	0.3702024606	0.9114927345
23	0.3647133752	0.9103918978
24	0.3599686486	0.9090708939
25	0.3535044603	0.9086305592
26	0.3479086267	0.9130339058
27	0.3421792837	0.9099515632
28	0.3359401098	0.9099515632
29	0.3315888774	0.9086305592
30	0.3254178642	0.9090708939
31	0.3207199037	0.9086305592
32	0.3164658919	0.916556583
33	0.3136350726	0.9161162483
34	0.3087558048	0.9163364157
35	0.3044372368	0.9207397622
36	0.3012069812	0.9200792602
37	0.2977496525	0.9231616028
38	0.2946489105	0.9231616028
39	0.2903109473	0.9244826068
40	0.2869442435	0.9262439454
41	0.2841824719	0.9269044474
42	0.2818526502	0.9264641127
43	0.2795085168	0.9266842801
44	0.2775412167	0.9271246147
45	0.2738289401	0.9275649494
46	0.2714170069	0.9282254513
47	0.2695025484	0.9284456187
48	0.267319536	0.9284456187
49	0.2652397725	0.9291061207
50	0.2629520024	0.928665786
51	0.2590966074	0.9284456187
52	0.257243257	0.9288859533
53	0.2545009728	0.9288859533
54	0.2521336295	0.929326288
55	0.2502464766	0.9297666226
56	0.2488907309	0.9297666226
57	0.2464980673	0.9304271246
58	0.2432896497	0.9315279613
59	0.2425288514	0.9321884632
60	0.2399062704	0.9326287979
61	0.238033068	0.9326287979
62	0.2358197096	0.9335094672
63	0.2336678707	0.9343901365
64	0.2323595054	0.9348304712
65	0.2304327749	0.9357111405
66	0.2286923189	0.9361514751
67	0.2269488083	0.9363716424
68	0.2252227893	0.9368119771
69	0.2240768114	0.9374724791
70	0.222910448	0.9376926464
71	0.22018977	0.9376926464
72	0.2189002573	0.9381329811
73	0.2172634165	0.9392338177
74	0.2157933641	0.9392338177
75	0.2137395434	0.9405548217
76	0.2119297355	0.9409951563
77	0.2101590294	0.9423161603
78	0.209121768	0.9423161603
79	0.2081180914	0.9423161603
80	0.2064783926	0.942095993
81	0.2054740858	0.9425363276
82	0.2048661832	0.9425363276
83	0.2039844665	0.9425363276
84	0.2021097952	0.9440774989
85	0.2011689943	0.9442976662
86	0.1994008802	0.9451783355
87	0.1983568099	0.9449581682
88	0.197482712	0.9451783355
89	0.1961736451	0.9449581682
90	0.1947227824	0.9462791722
91	0.1934892765	0.9469396742
92	0.192293149	0.9473800088
93	0.191221099	0.9473800088
94	0.1905657581	0.9476001761
95	0.1897866827	0.9476001761
96	0.1889201582	0.9476001761
97	0.1878543396	0.9478203435
98	0.1869782566	0.9478203435
99	0.1856557953	0.9489211801
100	0.1847998907	0.9489211801
101	0.1842547378	0.9493615148
102	0.1825917284	0.9502421841
103	0.1818130192	0.9504623514
104	0.1812844913	0.9506825187
105	0.1802692343	0.9511228534
106	0.1794942586	0.9511228534
107	0.1783494035	0.951563188
108	0.1774975322	0.951563188
109	0.1765743426	0.951563188
110	0.1755018277	0.95222369
111	0.1746103047	0.95222369
112	0.1741016123	0.95222369
113	0.1733321021	0.9524438573
114	0.1722517771	0.9524438573
115	0.1709899971	0.9531043593
116	0.1705962176	0.9533245266
117	0.1701028102	0.9533245266
118	0.1691916617	0.9533245266
119	0.1685718475	0.9533245266
120	0.168006201	0.953544694
121	0.1675850274	0.9537648613
122	0.1670677289	0.9537648613
123	0.1664157418	0.9537648613
124	0.1653440243	0.9537648613
125	0.1646977786	0.953544694
126	0.1639935017	0.9544253633
127	0.163460552	0.9544253633
128	0.1626500749	0.9542051959
129	0.1621985425	0.9548656979
130	0.1618195207	0.9550858653
131	0.1611712921	0.9550858653
132	0.1603082432	0.9548656979
133	0.1598053522	0.9548656979
134	0.1593369678	0.9550858653
135	0.1586956961	0.9553060326
136	0.1582537462	0.9555261999
137	0.1572020243	0.9559665346
138	0.1564172266	0.9557463672
139	0.156003885	0.9559665346
140	0.155551704	0.9559665346
141	0.1549900205	0.9561867019
142	0.1544479576	0.9564068692
143	0.1541188505	0.9564068692
144	0.1531992544	0.9566270365
145	0.1525765735	0.9566270365
146	0.1520035286	0.9568472039
147	0.1515762015	0.9568472039
148	0.1511161841	0.9568472039
149	0.1508725651	0.9570673712
150	0.150587523	0.9570673712
151	0.1501134155	0.9570673712
152	0.1499062437	0.9570673712
153	0.148985925	0.9577278732
154	0.1487561837	0.9577278732
155	0.1480323917	0.9575077059
156	0.1476990453	0.9575077059
157	0.146879457	0.9577278732
158	0.1463191168	0.9579480405
159	0.1461264356	0.9579480405
160	0.1455297788	0.9590488771
161	0.1444495084	0.9592690445
162	0.1439515023	0.9599295465
163	0.1432344629	0.9608102158
164	0.1425937096	0.9608102158
165	0.1420872769	0.9608102158
166	0.1414515426	0.9610303831
167	0.1408879372	0.9610303831
168	0.1404333582	0.9612505504
169	0.1397323119	0.9612505504
170	0.1391399115	0.9619110524
171	0.1388009282	0.9619110524
172	0.1384473049	0.9621312197
173	0.1378540415	0.9627917217
174	0.1376011846	0.9627917217
175	0.1373841884	0.9627917217
176	0.1370169552	0.9632320564
177	0.1367353151	0.9632320564
178	0.136332686	0.963011889
179	0.1358181417	0.9638925583
180	0.1352299435	0.9638925583
181	0.1343734491	0.9647732277
182	0.1339778001	0.9647732277
183	0.1335419567	0.9647732277
184	0.1330266459	0.9647732277
185	0.1327634116	0.9647732277
186	0.1323446564	0.9647732277
187	0.132114483	0.9647732277
188	0.1315784927	0.9647732277
189	0.1312779374	0.964993395
190	0.1307315012	0.9652135623
191	0.1301977208	0.9663143989
192	0.1300428478	0.9663143989
193	0.1296325392	0.9665345663
194	0.1288376332	0.9665345663
195	0.1285468392	0.9667547336
196	0.1282910645	0.9667547336
197	0.1278287995	0.9667547336
198	0.1275410473	0.9665345663
199	0.1272140177	0.9667547336
200	0.1267969384	0.9669749009
201	0.12632139	0.9671950683
202	0.1261171134	0.9671950683
203	0.1259186845	0.9671950683
204	0.1254472372	0.9676354029
205	0.1249395382	0.9682959049
206	0.124655238	0.9689564069
207	0.1244612439	0.9689564069
208	0.1241112337	0.9691765742
209	0.1238323876	0.9696169089
210	0.1233125475	0.9696169089
211	0.1230667401	0.9698370762
212	0.1226920896	0.9698370762
213	0.1222977783	0.9698370762
214	0.1218606488	0.9700572435
215	0.1212594233	0.9700572435
216	0.1208913655	0.9702774108
217	0.120436086	0.9704975782
218	0.1199599909	0.9704975782
219	0.1196513232	0.9707177455
