iter	Passed	Remaining
0	3	3645
1	6	3080
2	8	2877
3	11	2778
4	13	2717
5	16	2685
6	18	2657
7	21	2652
8	23	2626
9	26	2606
10	29	2611
11	31	2595
12	34	2586
13	36	2574
14	39	2570
15	41	2567
16	44	2571
17	47	2573
18	49	2563
19	52	2562
20	54	2557
21	57	2548
22	59	2540
23	62	2534
24	64	2531
25	67	2526
26	69	2522
27	72	2522
28	75	2519
29	77	2515
30	80	2509
31	82	2503
32	85	2499
33	88	2501
34	90	2499
35	93	2497
36	95	2492
37	98	2490
38	100	2486
39	103	2479
40	105	2476
41	108	2472
42	111	2473
43	113	2468
44	116	2470
45	119	2468
46	121	2468
47	124	2467
48	126	2464
49	129	2460
50	132	2458
51	134	2458
52	137	2456
53	140	2453
54	142	2450
55	145	2448
56	147	2447
57	150	2442
58	152	2439
59	155	2437
60	158	2433
61	160	2429
62	163	2425
63	165	2423
64	168	2419
65	170	2416
66	173	2416
67	176	2413
68	178	2410
69	181	2409
70	183	2407
71	186	2402
72	188	2398
73	191	2398
74	194	2395
75	196	2392
76	199	2388
77	201	2384
78	204	2381
79	206	2378
80	209	2375
81	211	2372
82	214	2370
83	217	2366
84	219	2362
85	222	2359
86	224	2356
87	227	2352
88	229	2349
89	232	2347
90	234	2345
91	237	2342
92	240	2341
93	242	2337
94	245	2334
95	247	2333
96	250	2329
97	252	2325
98	255	2322
99	257	2318
100	260	2316
101	262	2314
102	265	2314
103	268	2312
104	271	2311
105	273	2308
106	276	2305
107	278	2302
108	281	2301
109	284	2298
110	286	2295
111	289	2293
112	291	2290
113	294	2287
114	296	2283
115	299	2280
116	301	2277
117	304	2275
118	307	2273
119	309	2270
120	312	2267
121	314	2264
122	317	2262
123	319	2259
124	322	2257
125	325	2255
126	327	2252
127	330	2248
128	332	2246
129	335	2243
130	337	2240
131	340	2237
132	343	2236
133	345	2234
134	348	2230
135	350	2227
136	353	2224
137	355	2222
138	358	2219
139	360	2216
140	363	2213
141	365	2211
142	368	2208
143	371	2207
144	373	2205
145	376	2202
146	379	2199
147	381	2196
148	384	2193
149	386	2191
150	389	2188
151	391	2186
152	394	2183
153	396	2180
154	399	2179
155	403	2181
156	406	2184
157	409	2181
158	412	2180
159	415	2179
160	417	2176
161	420	2173
162	422	2170
163	425	2168
164	428	2166
165	430	2162
166	433	2160
167	435	2157
168	438	2154
169	441	2153
170	443	2150
171	446	2148
172	448	2145
173	451	2143
174	454	2140
175	456	2137
176	459	2134
177	461	2132
178	464	2129
179	466	2126
180	469	2124
181	472	2122
182	474	2119
183	477	2117
184	480	2114
185	482	2112
186	485	2108
187	487	2106
188	490	2103
189	492	2100
190	496	2102
191	499	2103
192	502	2101
193	505	2098
194	507	2095
195	510	2092
196	512	2090
197	515	2087
198	518	2085
199	520	2082
200	523	2080
201	525	2077
202	528	2074
203	530	2071
204	533	2068
205	536	2066
206	539	2066
207	541	2063
208	544	2062
209	547	2058
210	549	2055
211	552	2054
212	555	2052
213	557	2049
214	560	2047
215	563	2044
216	565	2041
217	568	2039
218	571	2036
219	573	2033
220	576	2031
221	578	2028
222	581	2025
223	583	2022
224	586	2020
225	588	2017
226	591	2013
227	594	2011
228	596	2008
229	599	2005
230	601	2002
231	604	1999
232	606	1997
233	609	1994
234	611	1991
235	614	1989
236	617	1986
237	619	1984
238	622	1982
239	625	1980
240	627	1977
241	630	1975
242	633	1972
243	635	1969
244	638	1968
245	641	1965
246	643	1962
247	646	1960
248	649	1957
249	651	1954
250	654	1952
251	656	1949
252	659	1947
253	662	1944
254	664	1942
255	667	1939
256	671	1940
257	673	1937
258	676	1936
259	679	1933
260	682	1931
261	684	1928
262	687	1925
263	690	1923
264	692	1921
265	695	1918
266	699	1919
267	702	1919
268	705	1917
269	708	1914
270	710	1911
271	713	1909
272	716	1907
273	718	1904
274	721	1901
275	724	1899
276	726	1896
277	729	1894
278	731	1891
279	734	1888
280	737	1886
281	739	1883
282	742	1881
283	745	1878
284	747	1876
285	750	1873
286	753	1870
287	755	1868
288	758	1865
289	760	1862
290	763	1860
291	766	1857
292	769	1855
293	772	1854
294	775	1852
295	777	1849
296	780	1846
297	782	1844
298	785	1841
299	788	1839
300	790	1836
301	793	1833
302	795	1830
303	798	1828
304	801	1825
305	804	1825
306	807	1822
307	810	1819
308	812	1817
309	815	1814
310	818	1812
311	820	1809
312	823	1806
313	825	1803
314	828	1800
315	830	1797
316	833	1795
317	835	1792
318	838	1790
319	841	1787
320	843	1784
321	846	1782
322	849	1779
323	851	1776
324	854	1775
325	857	1772
326	860	1771
327	863	1768
328	866	1766
329	868	1764
330	871	1762
331	874	1759
332	876	1756
333	879	1753
334	882	1751
335	884	1748
336	887	1745
337	889	1743
338	892	1740
339	895	1738
340	898	1735
341	900	1733
342	903	1730
343	905	1727
344	908	1724
345	910	1721
346	913	1718
347	916	1716
348	918	1713
349	921	1711
350	924	1708
351	926	1706
352	929	1703
353	932	1701
354	936	1700
355	938	1698
356	941	1695
357	943	1692
358	946	1689
359	949	1687
360	951	1685
361	954	1682
362	957	1679
363	960	1677
364	962	1675
365	965	1672
366	968	1669
367	970	1666
368	973	1664
369	975	1661
370	978	1658
371	981	1656
372	983	1653
373	986	1651
374	989	1648
375	991	1645
376	994	1643
377	997	1640
378	999	1637
379	1002	1635
380	1004	1632
381	1007	1629
382	1010	1627
383	1012	1624
384	1015	1621
385	1017	1618
386	1020	1616
387	1023	1613
388	1025	1610
389	1028	1608
390	1030	1605
391	1033	1602
392	1035	1599
393	1038	1597
394	1040	1594
395	1043	1591
396	1046	1588
397	1048	1586
398	1051	1583
399	1053	1580
400	1056	1578
401	1059	1575
402	1061	1572
403	1064	1570
404	1068	1569
405	1071	1567
406	1073	1564
407	1076	1561
408	1079	1559
409	1081	1556
410	1084	1554
411	1087	1551
412	1089	1549
413	1092	1546
414	1094	1543
415	1097	1540
416	1100	1537
417	1102	1535
418	1105	1532
419	1107	1529
420	1110	1527
421	1113	1524
422	1115	1522
423	1118	1519
424	1121	1516
425	1123	1514
426	1126	1511
427	1128	1508
428	1131	1505
429	1134	1503
430	1136	1500
431	1139	1498
432	1141	1495
433	1144	1492
434	1147	1489
435	1149	1487
436	1152	1484
437	1157	1484
438	1160	1482
439	1162	1480
440	1165	1477
441	1168	1474
442	1170	1472
443	1173	1469
444	1176	1466
445	1178	1464
446	1181	1461
447	1184	1458
448	1186	1456
449	1189	1453
450	1191	1450
451	1194	1448
452	1197	1445
453	1200	1443
454	1202	1440
455	1205	1438
456	1208	1435
457	1210	1432
458	1213	1429
459	1215	1427
460	1218	1424
461	1221	1421
462	1223	1419
463	1226	1416
464	1228	1413
465	1231	1411
466	1234	1408
467	1236	1405
468	1239	1403
469	1242	1400
470	1244	1397
471	1247	1395
472	1249	1392
473	1252	1389
474	1254	1387
475	1257	1384
476	1260	1381
477	1262	1379
478	1265	1376
479	1268	1373
480	1270	1371
481	1273	1368
482	1275	1365
483	1278	1362
484	1280	1360
485	1283	1357
486	1286	1354
487	1288	1352
488	1291	1349
489	1294	1346
490	1296	1344
491	1299	1341
492	1301	1338
493	1304	1335
494	1306	1333
495	1309	1330
496	1311	1327
497	1314	1325
498	1317	1322
499	1319	1319
500	1322	1317
501	1324	1314
502	1327	1311
503	1331	1310
504	1333	1307
505	1336	1304
506	1339	1302
507	1341	1299
508	1344	1296
509	1346	1294
510	1349	1291
511	1352	1289
512	1355	1286
513	1357	1283
514	1360	1280
515	1362	1278
516	1365	1275
517	1368	1272
518	1370	1270
519	1373	1267
520	1375	1264
521	1378	1262
522	1381	1259
523	1383	1256
524	1386	1254
525	1389	1251
526	1391	1249
527	1394	1246
528	1396	1243
529	1399	1241
530	1402	1238
531	1404	1235
532	1407	1233
533	1410	1230
534	1412	1227
535	1415	1225
536	1417	1222
537	1420	1219
538	1422	1217
539	1425	1214
540	1428	1211
541	1430	1209
542	1433	1206
543	1435	1203
544	1438	1200
545	1441	1198
546	1443	1195
547	1446	1193
548	1449	1190
549	1451	1187
550	1454	1185
551	1457	1182
552	1460	1180
553	1463	1178
554	1466	1176
555	1469	1173
556	1472	1170
557	1474	1168
558	1477	1165
559	1479	1162
560	1482	1160
561	1485	1157
562	1487	1154
563	1491	1153
564	1495	1151
565	1499	1149
566	1503	1147
567	1506	1145
568	1510	1144
569	1513	1142
570	1517	1140
571	1522	1138
572	1525	1137
573	1529	1135
574	1533	1133
575	1537	1131
576	1540	1129
577	1544	1127
578	1548	1125
579	1552	1124
580	1555	1122
581	1559	1119
582	1563	1118
583	1567	1116
584	1570	1114
585	1574	1112
586	1578	1110
587	1582	1108
588	1586	1107
589	1589	1104
590	1591	1101
591	1595	1099
592	1598	1096
593	1600	1094
594	1603	1091
595	1606	1088
596	1608	1086
597	1611	1083
598	1614	1080
599	1616	1077
600	1619	1075
601	1621	1072
602	1624	1069
603	1627	1066
604	1629	1063
605	1632	1061
606	1634	1058
607	1637	1055
608	1640	1053
