iter	Logloss	Accuracy
0	0.6183938106	0.90353366
1	0.55686616	0.9035981429
2	0.5079982272	0.9037271086
3	0.4668578244	0.9036303843
4	0.4323513459	0.9036948672
5	0.4031844867	0.9036626257
6	0.381945933	0.9037915914
7	0.3635937475	0.9038560743
8	0.3484688623	0.9038560743
9	0.3365726402	0.90398504
10	0.3259375094	0.9039527986
11	0.3180469009	0.9040172814
12	0.3106071463	0.9041140057
13	0.304662525	0.9040817643
14	0.2993898795	0.9040495228
15	0.2955444781	0.9040172814
16	0.2921507766	0.9039205571
17	0.2888735572	0.9039527986
18	0.2863047649	0.90398504
19	0.2843331052	0.9040172814
20	0.2818104527	0.9040817643
21	0.2803067173	0.9043074542
22	0.2784693037	0.9042429714
23	0.2767629291	0.9042107299
24	0.2756643335	0.9041462471
25	0.274266492	0.9043074542
26	0.273594575	0.9045331442
27	0.2725370819	0.9045653856
28	0.2716390683	0.9048877998
29	0.2708781657	0.9049200413
30	0.2705346939	0.9047910756
31	0.2699781986	0.9049845241
32	0.2694863422	0.9051134898
33	0.2690527827	0.9051457312
34	0.2686797856	0.9051457312
35	0.2682253069	0.905435904
36	0.2679392663	0.9053391798
37	0.2675090715	0.9052424555
38	0.2672469845	0.9053391798
39	0.2668780224	0.9054681455
40	0.2666135034	0.9055326283
41	0.2663883396	0.9056293526
42	0.26610878	0.9059517668
43	0.2659379099	0.9061774568
44	0.2657429495	0.9064676296
45	0.2654200409	0.9064676296
46	0.2651907126	0.9064676296
47	0.2650294391	0.9066288367
48	0.2649167703	0.9066288367
49	0.2646820601	0.9067578024
50	0.2645759484	0.906725561
51	0.2643991658	0.9066933196
52	0.2642654884	0.9066610782
53	0.2640490287	0.9069190095
54	0.2639202914	0.9069190095
55	0.2636906096	0.9069834924
56	0.2635208801	0.9070802167
57	0.2633654432	0.9072414238
58	0.2631413152	0.907563838
59	0.2629687471	0.907563838
60	0.2629649092	0.9075960794
61	0.2628319584	0.907563838
62	0.262719049	0.9077250451
63	0.2625734921	0.9076928037
64	0.2624322024	0.9077572866
65	0.262234257	0.9078862523
66	0.2621345091	0.9079829765
67	0.261948694	0.9080797008
68	0.2618134574	0.9081441836
69	0.2616904661	0.9082731493
70	0.2616048651	0.9082731493
71	0.261450518	0.9083053908
72	0.2613561191	0.9082731493
73	0.2612341782	0.9084343565
74	0.2611171072	0.9086600464
75	0.2609945115	0.908627805
76	0.2609048146	0.9086922879
77	0.2608051466	0.9087567707
78	0.2607310254	0.908853495
79	0.2606297015	0.9088212535
80	0.2605030159	0.9087890121
81	0.2603423425	0.908853495
82	0.2602615428	0.9088857364
83	0.2602114644	0.9091114264
84	0.2601164628	0.9089824607
85	0.2600191634	0.9091759092
86	0.2599108166	0.9093693578
87	0.2597759966	0.909466082
88	0.2595642886	0.9094983234
89	0.2594959827	0.9095950477
90	0.2594547347	0.9095305649
91	0.2592225596	0.9098529791
92	0.2590827595	0.9099819448
93	0.2590039528	0.9098529791
94	0.2589118624	0.9100141862
95	0.2588887305	0.9100141862
96	0.258724648	0.9100786691
97	0.2586323894	0.9101109105
98	0.2585880009	0.9102721176
99	0.2584805659	0.9102721176
100	0.2583649694	0.9102721176
101	0.2582913719	0.9104010833
102	0.2581734187	0.9106912561
103	0.2580696975	0.9107234975
104	0.2579974784	0.9107234975
105	0.2579062386	0.9106912561
106	0.2578606149	0.9109169461
107	0.257786895	0.9109169461
108	0.2576832425	0.9110781532
109	0.2576009326	0.9110459118
110	0.2575767202	0.9110136704
111	0.2574917732	0.9109169461
