iter	Passed	Remaining
0	74	74247
1	85	42875
2	96	31965
3	105	26372
4	115	23030
5	125	20798
6	135	19264
7	145	18025
8	156	17284
9	168	16640
10	178	16047
11	188	15560
12	199	15112
13	209	14776
14	219	14419
15	230	14174
16	240	13900
17	249	13625
18	260	13452
19	270	13252
20	280	13059
21	289	12877
22	299	12727
23	309	12577
24	319	12446
25	328	12313
26	338	12188
27	348	12095
28	358	11991
29	367	11892
30	377	11811
31	387	11717
32	397	11646
33	407	11577
34	417	11500
35	426	11427
36	436	11354
37	446	11295
38	455	11236
39	465	11174
40	475	11118
41	484	11061
42	494	11006
43	504	10954
44	513	10905
45	524	10873
46	533	10824
47	543	10784
48	553	10752
49	564	10719
50	574	10687
51	583	10645
52	594	10618
53	604	10585
54	614	10556
55	624	10532
56	635	10511
57	644	10472
58	654	10436
59	664	10409
60	674	10379
61	683	10347
62	693	10314
63	707	10351
64	717	10322
65	727	10289
66	736	10254
67	746	10235
68	756	10209
69	766	10177
70	776	10162
71	786	10138
72	796	10108
73	805	10078
74	815	10055
75	829	10087
76	839	10064
77	849	10036
78	858	10009
79	867	9980
80	877	9958
81	887	9935
82	897	9913
83	906	9887
84	916	9864
85	926	9843
86	935	9819
87	945	9796
88	954	9771
89	964	9748
90	974	9732
91	983	9709
92	993	9687
93	1002	9666
94	1012	9643
95	1022	9623
96	1031	9604
97	1041	9583
98	1050	9563
99	1060	9542
100	1070	9527
101	1079	9505
102	1089	9485
103	1099	9469
104	1108	9449
105	1118	9434
106	1127	9413
107	1137	9393
108	1146	9372
109	1156	9359
110	1166	9342
111	1183	9381
112	1203	9446
113	1222	9504
114	1243	9565
115	1261	9614
116	1271	9598
117	1281	9577
118	1291	9561
119	1301	9542
120	1310	9523
121	1320	9504
122	1330	9486
123	1339	9465
124	1349	9445
125	1358	9426
126	1368	9407
127	1378	9389
128	1387	9369
129	1397	9352
130	1407	9336
131	1416	9317
132	1426	9301
133	1436	9281
134	1445	9262
135	1454	9243
136	1464	9227
137	1474	9208
138	1484	9192
139	1493	9173
140	1503	9158
141	1512	9141
142	1522	9126
143	1532	9107
144	1541	9090
145	1551	9073
146	1560	9055
147	1570	9039
148	1580	9026
149	1591	9016
150	1600	9001
151	1610	8985
152	1620	8968
153	1628	8945
154	1638	8930
155	1647	8913
156	1657	8897
157	1666	8880
158	1676	8866
159	1686	8853
160	1697	8843
161	1706	8829
162	1716	8816
163	1726	8802
164	1736	8787
165	1745	8771
166	1755	8754
167	1764	8738
168	1773	8721
169	1783	8708
170	1793	8694
171	1802	8677
172	1812	8662
173	1821	8648
174	1831	8635
175	1841	8621
176	1850	8606
177	1861	8594
178	1870	8579
179	1880	8565
180	1889	8550
181	1899	8536
182	1909	8524
183	1921	8521
184	1931	8507
185	1940	8492
186	1950	8477
187	1960	8469
188	1971	8458
189	1982	8449
190	1991	8434
191	2000	8419
192	2010	8406
193	2020	8392
194	2029	8379
195	2039	8366
196	2049	8352
197	2058	8339
198	2068	8327
199	2078	8312
200	2087	8299
201	2097	8287
202	2107	8273
203	2116	8258
204	2126	8246
205	2136	8234
206	2145	8220
207	2155	8205
208	2164	8192
209	2174	8179
210	2184	8167
211	2193	8153
212	2203	8141
213	2213	8128
214	2222	8115
215	2232	8104
216	2242	8090
217	2251	8077
218	2261	8065
219	2271	8052
220	2281	8040
221	2290	8026
222	2299	8012
223	2309	7999
224	2318	7985
225	2328	7974
226	2337	7960
227	2346	7946
228	2355	7931
229	2365	7918
230	2374	7905
231	2384	7892
232	2394	7880
233	2403	7868
234	2413	7856
235	2423	7844
236	2432	7832
237	2442	7820
238	2452	7807
239	2461	7795
240	2471	7783
241	2480	7771
242	2490	7758
243	2499	7745
244	2509	7734
245	2519	7722
246	2528	7709
247	2538	7697
248	2548	7685
249	2557	7673
250	2567	7661
251	2578	7652
252	2587	7639
253	2597	7627
254	2606	7614
255	2616	7603
256	2625	7590
257	2635	7579
258	2645	7567
259	2654	7555
260	2664	7543
261	2673	7531
262	2683	7519
263	2692	7506
264	2702	7496
265	2712	7485
266	2723	7476
267	2732	7464
268	2742	7452
269	2752	7441
270	2761	7429
271	2771	7418
272	2781	7407
273	2791	7396
274	2801	7386
275	2811	7375
276	2820	7363
277	2830	7351
278	2840	7339
279	2849	7326
280	2858	7314
281	2868	7303
282	2877	7291
283	2887	7279
284	2897	7268
285	2907	7257
286	2916	7245
287	2926	7233
288	2935	7222
289	2945	7210
290	2955	7199
291	2964	7188
292	2974	7176
293	2984	7166
294	2993	7154
295	3003	7143
296	3012	7130
297	3022	7119
298	3032	7108
299	3041	7097
300	3051	7086
301	3061	7076
302	3071	7065
303	3081	7055
304	3091	7044
305	3101	7033
306	3111	7022
307	3120	7011
308	3130	7000
309	3140	6989
310	3150	6979
311	3159	6967
312	3172	6963
313	3184	6956
314	3194	6946
315	3205	6937
316	3215	6928
317	3226	6918
318	3236	6909
319	3246	6899
320	3257	6889
321	3267	6879
322	3277	6869
323	3288	6861
324	3300	6854
325	3311	6845
